Psicologia;Seleção de Pessoas;Cebraspe;Fácil;O entendimento da competência como um conceito que envolve entrega e agregação de valor ajuda a possibilitar uma seleção de pessoas com fundamento na definição das competências e habilidades necessárias para cada função.;Certo;Errado;;;;a;"Certo. Esta é a definição moderna de Competência (baseada em C.H.A. - Conhecimento, Habilidade, Atitude) que foca na ""entrega"" e ""agregação de valor"", orientando o processo seletivo.";Competência = Saber (C) + Saber Fazer (H) + Querer Fazer (A) = Entrega de Valor.;
Psicologia;Seleção de Pessoas;Cebraspe;Média;A utilização, no processo seletivo, de diversas técnicas que se complementam gera sobreposição do viés de avaliação.;Certo;Errado;;;;b;Errado. A utilização de diversas técnicas (ex: entrevista + dinâmica de grupo + teste) *diminui* o viés, pois um avaliador pode corrigir a percepção do outro. A sobreposição (ou triangulação) de métodos *reduz* o viés, não o gera.;Usar múltiplas técnicas (entrevista + teste + dinâmica) ajuda a *reduzir* o viés de avaliação.;
Psicologia;Gestão de Pessoas;Cebraspe;Média;O planejamento de pessoal acontece quando a organização pública proporciona o remanejamento de seus empregados por movimentação vertical, movimentação horizontal ou movimentação diagonal.;Certo;Errado;;;;b;Errado. O gabarito oficial  é E. A descrição (movimentação vertical, horizontal) refere-se ao *Plano de Carreiras* ou *Gestão de Carreiras*, que é uma *ferramenta* do planejamento de pessoal, mas não o planejamento em si.;Planejamento de Pessoal = Quantas pessoas e quais competências preciso no futuro? Gestão de Carreira = Como elas vão se movimentar (vertical, horizontal).;
Psicologia;Seleção de Pessoas;Cebraspe;Difícil;O confronto de dados diz respeito à dificuldade de traduzir, nas técnicas do processo seletivo, as expectativas dos requisitantes acerca do comportamento e das habilidades exigidas para o desempenho da função.;Certo;Errado;;;;b;"Errado. O gabarito oficial  é E. A dificuldade de traduzir o que o gestor quer em técnicas de seleção é chamada de ""Dificuldade de Mapeamento"" ou ""Problema do Requisitante"", não ""confronto de dados"".";A dificuldade em entender o que o gestor requisitante quer é um problema de Mapeamento de Perfil, não 'confronto de dados'.;
Psicologia;Rotatividade (Turnover);Cebraspe;Fácil;As características do trabalho associadas fortemente com a intenção de rotatividade incluem exaustão no trabalho, ambiguidade de papéis e conflito de papéis.;Certo;Errado;;;;a;Certo. Exaustão (Burnout), não saber o que se espera de você (ambiguidade) e receber ordens conflitantes (conflito de papéis) são estressores ocupacionais clássicos e fortes preditores da intenção de sair da empresa (rotatividade).;Estresse (Exaustão, Ambiguidade, Conflito) = Vontade de Sair (Rotatividade).;
Psicologia;Rotatividade (Turnover);Cebraspe;Fácil;A intenção de rotatividade pode ser medida pela expectativa do empregado de permanecer ou sair de sua organização, bem como pelos comportamentos de procura por outras ocupações por parte do empregado.;Certo;Errado;;;;a;"Certo. Esta é a definição operacional de ""Intenção de Rotatividade"". Ela é medida perguntando ao funcionário se ele *pensa* em sair (cognitivo) e se ele está *procurando* outro emprego (comportamental).";Intenção de Rotatividade = Pensar em sair + Procurar outro emprego.;
Psicologia;Rotatividade (Turnover);Cebraspe;Fácil;A motivação para o serviço público e a oportunidade de crescimento na carreira são fatores que causam impacto significativo na intenção de rotatividade dos funcionários públicos.;Certo;Errado;;;;b;"Errado. O gabarito oficial  é E. A Motivação para o Serviço Público (MSP) e a oportunidade de crescimento são fatores que *reduzem* a intenção de rotatividade (são fatores de *permanência*), não que *causam* impacto (a banca provavelmente interpretou ""causam impacto"" como negativo).";"*Self-correction: O gabarito  é E. A banca deve ter considerado que ""oportunidade de crescimento"" *reduz* a rotatividade, e não ""causa impacto"" nela (termo vago).";
Psicologia;Rotatividade (Turnover);Cebraspe;Média;Sob a perspectiva da rotatividade de pessoal, é considerado nocivo o monitoramento, pelos gestores públicos, das atitudes dos funcionários em relação ao trabalho por meio de questionários e avaliações de desempenho.;Certo;Errado;;;;b;Errado. Pelo contrário, é considerado *benéfico* e essencial. Monitorar atitudes (ex: através de Pesquisas de Clima) é a principal ferramenta do RH para *prever* e *prevenir* a rotatividade (turnover).;Monitorar atitudes (Pesquisa de Clima) é a melhor forma de *prevenir* a rotatividade, não é nocivo.;
Psicologia;Saúde do Trabalhador;Cebraspe;Média;É vedado aos tribunais, ao Conselho da Justiça Federal e ao Conselho Superior da Justiça do Trabalho realizar convênios entre si e entre instituições públicas para viabilizar a contratação de plano de saúde comum para seus usuários.;Certo;Errado;;;;b;Errado. A Resolução CNJ 207/2015, em seu Art. 12, §1º, *incentiva* a celebração de convênios para planos de saúde comuns, visando economia de escala. Não é vedado, é estimulado.;Convênios de saúde entre tribunais são *estimulados* pela resolução do CNJ, não vedados.;
Psicologia;Saúde do Trabalhador;Cebraspe;Fácil;Planejar, realizar, monitorar e gerir iniciativas e medidas voltadas à atenção integral à saúde são diretrizes norteadoras da referida política.;Certo;Errado;;;;a;Certo. Esta é uma descrição direta dos objetivos da Política Nacional de Atenção Integral à Saúde de Magistrados e Servidores (Res. CNJ 207/2015), baseada no ciclo PDCA (Planejar, Realizar, Monitorar, Gerir).;A Política de Saúde do CNJ segue o ciclo básico de gestão (Planejar, Fazer, Checar, Agir).;
Psicologia;Psicologia Social;Cebraspe;Média;O gaslighting, frequentemente percebido nas relações de violência contra a mulher e de violência no trabalho, consiste em um ato ou uma prática cuja intenção é manipular psicologicamente alguém ao distorcer e falsear fatos em beneficio do manipulador.;Certo;Errado;;;;a;Certo. Esta é a definição precisa de gaslighting: uma forma de abuso psicológico onde o abusador distorce a realidade para fazer a vítima duvidar de sua própria sanidade ou percepção.;Gaslighting = Manipulação para fazer a vítima duvidar da própria realidade.;
Psicologia;Psicologia Social;Cebraspe;Fácil;A violência contra as pessoas LGBTQIA+ pode ser considerada um sintoma de adoecimento social.;Certo;Errado;;;;a;Certo. Na perspectiva da psicologia social e crítica, a violência (como homofobia e transfobia) não é apenas um ato individual, mas um sintoma de uma estrutura social adoecida (preconceito estrutural, normas de gênero rígidas).;Preconceito e violência contra minorias (LGBTQIA+) são sintomas de uma sociedade adoecida.;
Psicologia;Saúde Mental;Cebraspe;Média;No âmbito dos desafios contemporâneos da psicologia, a luta antimanicomial é um dos grandes avanços, por tratar a saúde mental conforme os preceitos dos direitos humanos, garantindo-se o respeito à vida, à liberdade, à igualdade e à segurança.;Certo;Errado;;;;a;Certo. A Luta Antimanicomial (e a Reforma Psiquiátrica) é exatamente isso: a substituição do modelo de hospitalização (manicômio) por uma Rede de Atenção Psicossocial (RAPS) em liberdade, baseada nos direitos humanos.;Luta Antimanicomial = Tratamento em liberdade, com base nos Direitos Humanos (ex: CAPS).;
Psicologia;Teorias de Gênero;Cebraspe;Difícil;De acordo com Judith Butler, uma das principais teóricas dos estudos de gênero, as violências contra as pessoas LGBTQIA+ não decorrem da heterossexualidade compulsória ou do binarismo de gênero, mas de problemas sociais e culturais mais complexos.;Certo;Errado;;;;b;Errado. Pelo contrário, para Butler, a violência de gênero decorre *precisamente* da norma da heterossexualidade compulsória e do binarismo de gênero, que punem corpos e identidades que não se encaixam nessa norma.;Judith Butler: A violência de gênero *decorre* do binarismo e da heteronormatividade compulsória.;
Psicologia;Psicologia Social;Cebraspe;Fácil;O ciclo da violência doméstica é composto, nessa sequência, pela fase do carinho (conhecida como lua de mel), pela fase de tensão e, por fim, pela fase dos atos de violência.;Certo;Errado;;;;b;Errado. A sequência clássica (descrita por Lenore Walker) é: 1º Fase de Tensão, 2º Fase da Explosão (atos de violência), 3º Fase da Lua de Mel (carinho/arrependimento). A ordem da questão está errada.;Ciclo da Violência (ordem): 1º Tensão -> 2º Explosão -> 3º Lua de Mel.;
Psicologia;Psicologia Social;Cebraspe;Fácil;O assédio moral e sexual e a discriminação decorrem de um exercício de poder resultante da crença de que uma pessoa ou um grupo social deve ter privilégios sobre os demais.;Certo;Errado;;;;a;Certo. A raiz de todas essas formas de violência (assédio, discriminação) é uma relação assimétrica de poder e a crença (preconceito) na superioridade de um grupo sobre outro (ex: homens sobre mulheres, brancos sobre negros, chefes sobre subordinados).;Assédio e Discriminação = Abuso de Poder + Crença de Superioridade.;
Língua Portuguesa;Interpretação de Texto;Objetiva Concursos;Média;"Considerando-se o texto 'Da calma e do silêncio', analisar os itens abaixo: I. Em ""quero mascar,/rasgar entre os dentes,/a pele, os ossos, o tutano/do verbo"", a autora recorre à comparação da palavra ao corpo de um animal ou de um ser humano, atribuindo um caráter visceral e orgânico ao fazer poético. II. O título ""Da calma e do silêncio"" faz alusão aos aspectos necessários para a produção poética, bem como à contemplação da escrita.";Os itens I e II estão corretos.;Somente o item I está correto.;Somente o item II está correto.;Os itens I e II estão incorretos.;;A;Certo. Ambos os itens estão corretos. O item I descreve a metáfora visceral do ato de escrever [cite: 1633], e o item II conecta o título ao estado de espírito (calma, silêncio) necessário para a criação poética[cite: 1633].;Analise as metáforas (I) e a relação do título com o corpo do texto (II).;
Língua Portuguesa;Interpretação de Texto;Objetiva Concursos;Fácil;De acordo com o texto 'Da calma e do silêncio', assinalar a alternativa CORRETA:;Para reter, dentro da iris, o movimento infimo, a autora pede que a despertem, uma forma de conservar a menor sombra de poesia.;A autora pede que a deixem quieta, na aparente inércia, para mergulhar em mundos submersos que só a poesia permite penetrar.;Ao rasgar a palavra entre os dentes, a autora evita o versejar do âmago das coisas, uma vez que o sentimento a causa sofrimento.;"De acordo com a autora, o abrandar do passo impede a produção de seus versos, expresso em """"Caminhar para quê? Deixem-me quedar""""";;B;"Certo. A alternativa B é uma paráfrase direta dos últimos versos do poema: """"Deixem-me quedar, / deixem-me quieta, / na aparente inércia. [...] há mundos submersos, / que só o silêncio / da poesia penetra.""""[cite: 1633].";A resposta correta é quase sempre uma reescrita (paráfrase) de uma parte do texto.;
Língua Portuguesa;Morfossintaxe;Objetiva Concursos;Média;"No trecho ""Quando meu olhar se perder no nada, por favor, não me despertem [...]"", se a palavra sublinhada fosse flexionada para o plural (""olhares""), quantas outras palavras precisariam ser obrigatoriamente alteradas também?";Uma.;Duas.;Três.;Quatro.;;B;"Certo. Se """"olhar"""" fosse para o plural (""""olhares""""), teríamos: """"Quando **meus** olhar**es** **se** perder**em**..."""". As palavras que mudam obrigatoriamente são """"meu"""" (para meus) e """"perder"""" (para perderem). A palavra """"se"""" não muda. Portanto, duas palavras.[cite: 1633]";Teste a concordância nominal (artigos, pronomes) e verbal (verbo) ao mudar o substantivo principal.;
